
0,-0.1819,0.7460
0.1699,-0.1771,0.7962
0.1962,-0.1914,0.7699
0.1914,-0.1962,0.7890
0.1866,-0.2034,0.7747
0.1771,-0.2249,0.7866
0.1914,-0.1771,0.7651
0.1723,-0.2082,0.7579
0.1986,-0.1819,0.7675
0.1866,-0.2225,0.7508
0.2010,-0.1675,0.7890
0.1747,-0.2034,0.7819
0.1866,-0.2034,0.7555
0.1819,-0.2297,0.7986
0.1890,-0.1890,0.7771
0.1675,-0.1938,0.7675
0.1819,-0.1627,0.7651
0.1842,-0.2034,0.7555
0.1723,-0.2010,0.7747
0.1866,-0.2201,0.8010
0.1890,-0.2249,0.7938
0.1962,-0.1771,0.8082
0.1866,-0.2249,0.7579
0.1914,-0.1938,0.7747
0.1866,-0.1890,0.7460
0.1866,-0.1723,0.8010
0.1699,-0.1890,0.7675
0.2058,-0.1986,0.7723
0.1914,-0.2321,0.7819
0.1771,-0.1914,0.7771
0.1771,-0.2082,0.8010
0.1723,-0.1890,0.8034
0.1890,-0.2010,0.7699
0.1962,-0.1819,0.7675
0.1651,-0.2249,0.7603
0.1962,-0.2130,0.7460
0.1890,-0.1723,0.7938
0.1914,-0.1866,0.7938
0.1866,-0.1890,0.7651
0.1771,-0.2058,0.7436
0.1890,-0.1842,0.7747
0.2106,-0.1819,0.7795
0.1962,-0.1842,0.7627
0.1938,-0.1771,0.7890
0.1914,-0.1747,0.7651
0.1962,-0.1938,0.7651
0.1531,-0.2010,0.7627
0.1795,-0.1962,0.7531
0.2010,-0.2082,0.7962
0.2130,-0.2225,0.7771
0.1747,-0.1675,0.7531
0.1842,-0.1795,0.8010
0.1890,-0.2082,0.7675
0.1795,-0.2082,0.7747
0.1986,-0.1914,0.7866
0.1890,-0.2369,0.7723
0.1795,-0.2058,0.7986
0.1890,-0.1914,0.7771
0.1938,-0.2177,0.7843
0.1819,-0.2177,0.7723
0.1819,-0.2273,0.7531
0.1795,-0.2034,0.7675
0.1747,-0.2201,0.7795
0.1795,-0.1938,0.7819
0.1938,-0.1914,0.7675
0.1795,-0.2058,0.7651
0.1699,-0.2154,0.7771
0.1675,-0.2417,0.7723
0.1795,-0.2297,0.7699
0.1795,-0.2034,0.7986
0.1723,-0.1819,0.7890
0.1795,-0.2106,0.7675
0.1771,-0.2177,0.7938
0.1747,-0.2106,0.7723
0.1819,-0.1914,0.7819
0.1723,-0.1914,0.7843
0.1866,-0.2034,0.7555
0.1986,-0.1771,0.7723
0.1842,-0.1890,0.7579
0.1699,-0.2201,0.7675
0.1890,-0.1795,0.7627
0.1699,-0.2082,0.7484
0.1723,-0.1866,0.7747
0.2034,-0.2201,0.7890
0.1795,-0.1914,0.7843
0.2058,-0.2058,0.7771
0.1699,-0.2177,0.7699
0.1723,-0.1866,0.7723
0.1866,-0.1938,0.7699
0.1723,-0.2034,0.7603
0.1723,-0.1627,0.7579
0.2106,-0.1890,0.7603
0.2082,-0.1531,0.7627
0.2010,-0.1890,0.7819
0.2058,-0.2369,0.7508
0.1914,-0.2130,0.7747
0.1747,-0.1914,0.7675
0.1747,-0.2034,0.7699
0.1890,-0.1986,0.7627
0.1747,-0.2058,0.7771
0.2010,-0.2225,0.7962
0.2010,-0.2273,0.7627
0.2082,-0.1890,0.7795
0.1962,-0.2010,0.7771
0.1747,-0.1890,0.7603
0.1819,-0.1795,0.7436
0.1842,-0.1986,0.7795
0.1938,-0.1986,0.7508
0.1986,-0.2082,0.7962
0.1842,-0.1675,0.7723
0.1914,-0.2106,0.7603
0.1890,-0.2393,0.7699
0.1866,-0.1723,0.7627
0.2082,-0.2106,0.7866
0.1771,-0.1914,0.7866
0.1890,-0.2225,0.7723
0.1914,-0.2177,0.7890
0.1962,-0.2082,0.7436
0.1914,-0.2082,0.7436
0.1866,-0.1986,0.7675
0.1723,-0.2106,0.7843
0.1795,-0.2010,0.7866
0.2010,-0.2154,0.7843
0.1747,-0.1890,0.7699
0.1938,-0.1771,0.7531
0.1795,-0.1914,0.7819
0.2058,-0.1986,0.7723
0.1771,-0.1675,0.7747
