10:23:41.683,-0.2010,0.3302,9.8345
10:23:41.685,-0.1675,0.3350,9.8010
10:23:41.735,-0.1819,0.2967,9.8154
10:23:41.786,-0.1627,0.3302,9.8058
10:23:41.836,-0.1866,0.3350,9.8345
10:23:41.887,-0.1723,0.3206,9.8297
10:23:41.937,-0.1771,0.3206,9.8297
10:23:41.988,-0.1723,0.3111,9.8106
10:23:42.039,-0.1771,0.3302,9.8345
10:23:42.089,-0.1819,0.3350,9.8154
10:23:42.140,-0.1723,0.2871,9.8201
10:23:42.190,-0.1723,0.3159,9.8536
10:23:42.241,-0.1531,0.3350,9.8249
10:23:42.292,-0.1962,0.2967,9.8441
10:23:42.342,-0.1914,0.3350,9.8058
10:23:42.393,-0.1866,0.3063,9.8441
10:23:42.444,-0.1819,0.3254,9.8249
10:23:42.494,-0.1819,0.3302,9.7866
10:23:42.545,-0.1771,0.2967,9.7914
10:23:42.595,-0.1771,0.3302,9.7962
10:23:42.646,-0.1723,0.3254,9.8058
10:23:42.697,-0.1819,0.3350,9.8297
10:23:42.747,-0.1627,0.3111,9.8345
10:23:42.798,-0.1771,0.3206,9.8010
10:23:42.849,-0.1675,0.3302,9.8010
10:23:42.899,-0.1723,0.3350,9.8393
10:23:42.950,-0.1579,0.3541,9.7962
10:23:43.000,-0.1627,0.3206,9.7962
10:23:43.051,-0.1723,0.3254,9.7962
10:23:43.102,-0.2393,0.1340,9.8728
10:23:43.152,-0.1149,0.4738,9.8345
10:23:43.203,0.2728,1.8999,9.6814
10:23:43.253,-0.3494,0.0766,9.7723
10:23:43.304,-0.0622,0.6221,9.7579
10:23:43.355,0.0718,-0.0096,9.8919
10:23:43.405,-0.1149,0.2106,9.8154
10:23:43.456,-0.2010,0.2489,10.6863
10:23:43.507,-0.2393,0.3972,9.5904
10:23:43.557,-0.5551,0.1771,10.0403
10:23:43.608,-0.3111,-0.2201,10.9065
10:23:43.658,-0.3398,-0.1962,12.1268
10:23:43.709,0.6987,2.9623,20.0662
10:23:43.760,0.2584,3.1872,19.5111
10:23:43.810,-2.1918,1.5075,0.4211
10:23:43.861,-3.0437,-3.8668,-18.4869
10:23:43.912,-2.8522,-2.6417,-9.4373
10:23:43.962,-0.8997,5.8959,25.1677
10:23:44.013,4.0247,4.1252,39.1992
10:23:44.063,3.7759,1.6989,22.7653
10:23:44.114,-2.5603,2.5651,0.6987
10:23:44.165,-4.3214,-2.3641,-26.0722
10:23:44.215,-1.0624,-2.5795,-13.8353
10:23:44.266,0.3685,5.3360,20.6357
10:23:44.316,-0.1292,5.3408,39.1992
10:23:44.367,1.2203,-0.3254,14.7924
10:23:44.418,-2.4550,-0.2154,-1.3639
10:23:44.468,-3.7567,-4.1492,-22.4351
10:23:44.519,4.6708,-1.0098,-11.4999
10:23:44.570,-2.1631,9.9063,31.8150
10:23:44.620,0.2249,3.0293,32.5711
10:23:44.671,2.4263,-3.6084,3.6419
10:23:44.721,2.0483,-1.1677,7.4560
10:23:44.772,0.2776,-1.0624,9.1119
10:23:44.823,-1.0576,-1.7372,8.9779
10:23:44.873,-1.2826,-2.0818,8.4467
10:23:44.924,-2.8283,-2.0243,10.6624
10:23:44.975,-0.8088,-1.6223,9.6479
10:23:45.025,1.4022,-4.6708,10.4375
10:23:45.076,-0.8853,-4.4650,9.2746
10:23:45.126,-0.6652,-3.0676,8.3701
10:23:45.177,-0.3398,-6.8626,5.6471
10:23:45.228,-0.6461,-4.4985,10.2700
10:23:45.278,3.9625,-0.2919,9.7819
10:23:45.329,-11.0883,-10.4566,11.6865
10:23:45.379,-12.7202,-12.0933,7.5852
10:23:45.430,-2.2205,-2.0435,10.8395
10:23:45.481,6.5324,0.6078,6.1543
10:23:45.531,6.0443,0.7705,10.1791
10:23:45.582,8.5615,0.6126,5.4796
10:23:45.633,10.1216,2.0913,5.4987
10:23:45.683,9.2698,2.9815,4.4028
10:23:45.734,3.4887,3.8907,9.5378
10:23:45.784,-3.5414,1.8377,12.0885
10:23:45.835,-9.3894,-6.5755,12.0742
10:23:45.886,-2.9288,-0.8806,8.8343
10:23:45.936,-7.2120,-4.2114,11.4090
10:23:45.987,-8.6524,-4.3214,9.2315
